+++++++++++++++ run 1 begin +++++++++++++
0.695148 0.782617 0.220959 0.299495 -2.2911 -2.00431 
0.633309 0.711682 0.135759 0.201902 -1.73676 -1.61516 
0.589882 0.66153 0.0827451 0.141252 -1.47203 -1.40177 
0.55672 0.623137 0.0457062 0.0987417 -1.30793 -1.25841 
0.530072 0.592258 0.0179442 0.066785 -1.19431 -1.15126 
0.507902 0.566568 -0.00386539 0.0416111 -1.10733 -1.069 
0.488983 0.544657 -0.0215876 0.021102 -1.03774 -1.00304 
0.472525 0.525609 -0.036361 0.00396346 -0.980328 -0.948407 
0.457979 0.508805 -0.0489252 -0.0106464 -0.931763 -0.90214 
0.444947 0.493814 -0.0597845 -0.0233017 -0.889895 -0.862228 
0.433171 0.480282 -0.0692955 -0.0344094 -0.853253 -0.827278 
0.42244 0.46796 -0.0777191 -0.0442671 -0.820781 -0.796295 
0.412588 0.456658 -0.0852506 -0.053098 -0.791705 -0.768545 
0.403484 0.446224 -0.0920396 -0.0610732 -0.765438 -0.74347 
0.395024 0.436539 -0.0982029 -0.0683265 -0.741525 -0.720641 
0.387125 0.427504 -0.103833 -0.0749641 -0.719612 -0.69972 
0.379716 0.419039 -0.109005 -0.0810715 -0.699413 -0.680435 
0.372739 0.411077 -0.11378 -0.0867185 -0.680698 -0.662567 
0.366148 0.403562 -0.118206 -0.0919627 -0.663277 -0.645937 
0.359899 0.396445 -0.122327 -0.0968519 -0.646996 -0.630394 
0.353959 0.389687 -0.126177 -0.101427 -0.631721 -0.615815 
0.348297 0.383251 -0.129786 -0.105721 -0.617343 -0.602093 
0.342886 0.377109 -0.133179 -0.109764 -0.603766 -0.589138 
0.337706 0.371233 -0.136378 -0.11358 -0.590912 -0.576873 
0.332734 0.365601 -0.139402 -0.117193 -0.578708 -0.565231 
0.327955 0.360191 -0.142266 -0.120619 -0.567096 -0.554156 
0.323351 0.354987 -0.144986 -0.123877 -0.556022 -0.543595 
0.318911 0.349971 -0.147574 -0.126979 -0.54544 -0.533505 
0.314621 0.345131 -0.15004 -0.12994 -0.535309 -0.523846 
0.31047 0.340452 -0.152395 -0.132771 -0.525592 -0.514585 
0.306448 0.335923 -0.154647 -0.135481 -0.516257 -0.505689 
0.302547 0.331535 -0.156805 -0.138079 -0.507277 -0.497132 
0.298759 0.327278 -0.158874 -0.140575 -0.498624 -0.488888 
0.295075 0.323142 -0.160862 -0.142974 -0.490275 -0.480937 
